episode,reward,pending_avg,delivered_total,ontime,late,avg_fatigue,pct_resting,epsilon,sec_elapsed,eval_reward,eval_pending_avg,eval_delivered_total,eval_ontime,eval_late
76,-31992.271,118.971,138,93,45,5.6919,17.815,0.0557,1721.91,,,,,
77,-24410.071,117.858,134,111,23,5.2348,18.093,0.0555,1737.13,,,,,
78,-35045.836,123.552,138,102,36,4.8687,17.519,0.0552,1753.15,,,,,
79,-29324.666,120.971,129,86,43,5.0401,14.648,0.0549,1768.11,,,,,
80,-27622.708,120.857,126,93,33,5.1735,11.148,0.0546,1792.1,,,,,
81,-29901.567,115.672,145,102,43,5.4803,21.426,0.0544,1808.58,,,,,
82,-30045.696,119.756,132,83,49,5.137,15.815,0.0541,1832.42,,,,,
83,-26336.468,120.591,133,100,33,5.283,13.981,0.0538,1855.41,,,,,
84,-27739.359,125.111,128,80,48,4.6679,12.074,0.0535,1878.38,,,,,
85,-30334.366,123.024,132,89,43,5.1873,13.13,0.0533,1899.09,,,,,
86,-27414.447,119.519,132,96,36,4.9454,15.87,0.053,1914.6,,,,,
87,-23715.772,115.963,135,102,33,5.4328,18.148,0.0527,1930.42,,,,,
88,-25403.779,122.052,124,102,22,4.541,14.944,0.0525,1941.7,,,,,
89,-27252.404,115.35,142,110,32,5.6188,18.889,0.0522,1960.22,,,,,
90,-24588.768,112.043,148,116,32,5.9916,22.926,0.052,1975.97,,,,,
91,-26780.653,122.153,130,100,30,5.1147,14.852,0.0517,1994.48,,,,,
92,-25913.151,113.19,148,105,43,5.6803,22.222,0.0514,2013.19,,,,,
93,-27082.06,110.779,152,111,41,6.1184,25.759,0.0512,2027.42,,,,,
94,-30073.008,117.364,144,104,40,5.3171,19.778,0.0509,2043.88,,,,,
95,-34467.803,122.934,128,79,49,5.3839,12.278,0.0507,2060.74,,,,,
96,-28372.499,124.164,126,92,34,4.9156,12.981,0.0504,2075.79,,,,,
97,-24976.966,118.578,137,113,24,5.2313,16.296,0.0502,2095.42,,,,,
98,-24809.493,118.81,124,97,27,5.1927,15.833,0.05,2107.84,,,,,
99,-30487.409,122.437,133,97,36,5.3434,12.611,0.05,2127.12,,,,,
100,-27746.934,117.754,138,109,29,5.6396,16.37,0.05,2433.46,-24547.783,123.797,99.0,77.0,22.0
